"Source:","/Users/rion/Nextcloud/Projects/mains-monitor/mains-monitor.kicad_sch"
"Date:","Wednesday, February 08, 2023 at 07:25:51 PM"
"Tool:","Eeschema (6.0.10-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C2, ","1","0.1uF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C3, C4, ","2","10uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C5, ","1","22uF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"CT1, CT2, ","2","Transformer_1P_1S","Transformer_1P_1S","","Transformer, single primary, single secondary",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole with connection",""
"J1, ","1","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","Screw_Terminal_01x04","Screw_Terminal_01x04","TerminalBlock:TerminalBlock_Altech_AK300-4_P5.00mm","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, J4, ","2","AudioPlug3","AudioPlug3","PJ-320A:Jack_3.5mm_PJ320A_Horizontal","Audio Jack, 3 Poles (Stereo / TRS)",""
"J5, ","1","Conn_01x06_Female","Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PS1, ","1","HLK-PM03","HLK-PM03","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Compact AC/DC board mount power module 3W 3V3",""
"R1, R2, R3, R4, ","4","3.3R","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R5, R7, ","2","100KR","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R6, R8, ","2","18KR","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R9, R10, R11, R12, R13, ","5","10KR","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"SW1, ","1","RST","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins",""
"SW2, ","1","FLASH","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins",""
"U1, ","1","CD4051B","CD4051B","Package_DIP:DIP-16_W7.62mm","CMOS single 8-channel analog multiplexer demultiplexer, TSSOP-16/DIP-16/SOIC-16",""
"U2, ","1","ESP-12F","ESP-12F","RF_Module:ESP-12E","802.11 b/g/n Wi-Fi Module",""
